Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SVpct,GAA,SO,GPS,MIN,QS,QSpct,RBS,GApct,GSAA,G,A,PTS,PIM,Season
Linus Ullmark, 25, BUF, 37, 34, 15, 14, 5, 109, 1146, 1037, .905, 3.11, 2, 5.8, 2102, 18, .529, 6, 106, -5.71, 0, 1, 1, 0,2018-19
Semyon Varlamov, 30, COL, 49, 49, 20, 19, 9, 136, 1496, 1360, .909, 2.87, 2, 8.2, 2839, 25, .510, 9, 101, -1.16, 0, 0, 0, 2,2018-19
Andrei Vasilevskiy, 24, TBL, 53, 53, 39, 10, 4, 128, 1713, 1585, .925, 2.40, 6, 12.4, 3204, 34, .642, 7, 83, 26.40, 0, 3, 3, 6,2018-19
Cam Ward, 34, CHI, 33, 29, 16, 12, 4, 115, 1113, 998, .897, 3.67, 0, 4.6, 1882, 15, .517, 5, 115, -14.68, 0, 1, 1, 4,2018-19
Jake Allen, 27, STL, 59, 56, 27, 25, 3, 152, 1614, 1462, .906, 2.75, 1, 7.9, 3317, 27, .482, 8, 107, -10.34, 0, 1, 1, 0,2017-18
Frederik Andersen, 28, TOR, 66, 66, 38, 21, 5, 182, 2211, 2029, .918, 2.81, 5, 13.6, 3889, 37, .561, 8, 94, 12.06, 0, 1, 1, 2,2017-18
Craig Anderson, 36, OTT, 58, 55, 23, 25, 6, 180, 1768, 1588, .898, 3.32, 2, 7.2, 3251, 25, .455, 11, 116, -24.83, 0, 0, 0, 2,2017-18
Ken Appleby, 22, NJD, 3, 1, 0, 1, 0, 3, 55, 52, .945, 1.45, 0, 0.5, 124, 0, .000, 0, , , 0, 0, 0, 0,2017-18
Jonathan Bernier, 29, COL, 37, 34, 19, 13, 3, 95, 1092, 997, .913, 2.85, 2, 6.2, 2001, 18, .529, 5, 99, 0.84, 0, 1, 1, 0,2017-18
Reto Berra, 31, ANA, 5, 1, 1, 1, 0, 7, 95, 88, .926, 2.31, 0, 0.7, 182, 1, 1.000, 0, , , 0, 0, 0, 0,2017-18
Jean-Francois Berube, 26, CHI, 13, 10, 3, 6, 1, 42, 398, 356, .894, 3.78, 0, 1.4, 667, 3, .300, 3, 120, -7.07, 0, 0, 0, 0,2017-18
Ben Bishop, 31, DAL, 53, 51, 26, 17, 5, 120, 1437, 1317, .916, 2.49, 5, 8.7, 2887, 27, .529, 8, 95, 6.12, 0, 1, 1, 4,2017-18
Sergei Bobrovsky, 29, CBJ, 65, 65, 37, 22, 6, 158, 1993, 1835, .921, 2.42, 5, 12.9, 3912, 38, .585, 10, 90, 16.92, 0, 3, 3, 0,2017-18
Laurent Brossoit, 24, EDM, 14, 10, 3, 7, 1, 40, 343, 303, .883, 3.24, 0, 0.8, 740, 5, .500, 2, 133, -9.90, 0, 1, 1, 0,2017-18
Peter Budaj, 35, TBL, 8, 7, 3, 3, 1, 27, 217, 190, .876, 3.76, 0, 0.3, 430, 2, .286, 1, , , 0, 0, 0, 0,2017-18
Jack Campbell, 26, LAK, 5, 4, 2, 0, 2, 11, 145, 134, .924, 2.48, 0, 1.0, 267, 2, .500, 0, , , 0, 0, 0, 0,2017-18
Eric Comrie, 22, WPG, 3, 3, 1, 2, 0, 12, 94, 82, .872, 3.99, 0, 0.1, 180, 1, .333, 0, , , 0, 0, 0, 0,2017-18
Mike Condon, 27, OTT, 31, 26, 5, 17, 5, 88, 898, 810, .902, 3.25, 0, 4.0, 1626, 13, .500, 6, 112, -9.18, 0, 2, 2, 0,2017-18
Jared Coreau, 26, DET, 7, 7, 0, 5, 1, 27, 203, 176, .867, 4.26, 0, 0.1, 380, 1, .143, 2, , , 0, 0, 0, 0,2017-18
Corey Crawford, 33, CHI, 28, 27, 16, 9, 2, 60, 842, 782, .929, 2.27, 2, 6.2, 1584, 17, .630, 3, 81, 13.90, 0, 0, 0, 0,2017-18
Oscar Dansk, 23, VEG, 4, 3, 3, 0, 0, 5, 93, 88, .946, 1.78, 1, 0.9, 169, 3, 1.000, 0, , , 0, 0, 0, 0,2017-18
Scott Darling, 29, CAR, 43, 40, 13, 21, 7, 131, 1171, 1040, .888, 3.18, 0, 3.5, 2475, 14, .350, 7, 127, -28.22, 0, 0, 0, 2,2017-18
Collin Delia, 23, CHI, 2, 2, 1, 1, 0, 7, 63, 56, .889, 3.96, 0, 0.2, 106, 1, .500, 0, , , 0, 0, 0, 2,2017-18
Aaron Dell, 28, SJS, 29, 22, 15, 5, 4, 67, 775, 708, .914, 2.64, 2, 4.4, 1522, 11, .500, 4, 98, 1.02, 0, 1, 1, 0,2017-18
