Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SVpct,GAA,SO,GPS,MIN,QS,QSpct,RBS,GApct,GSAA,G,A,PTS,PIM,Season
Dan Cloutier, 25, VAN, 62, , 31, 22, 5, 142, 1440, 1298, .901, 2.43, 7, 7.8, 3502, , , , 107, -9.16, 0, 0, 0, 20,2001-02
Ty Conklin, 25, EDM, 4, , 2, 0, 0, 4, 66, 62, .939, 1.63, 0, 0.6, 148, , , , , , 0, 0, 0, 0,2001-02
Byron Dafoe, 30, BOS, 64, , 35, 26, 3, 141, 1520, 1379, .907, 2.21, 4, 9.3, 3827, , , , 101, -0.78, 0, 1, 1, 27,2001-02
Jean-Francois Damphousse, 22, NJD, 6, , 1, 3, 0, 12, 115, 103, .896, 2.45, 0, 0.5, 294, , , , , , 0, 0, 0, 0,2001-02
Marc Denis, 24, CBJ, 42, , 9, 24, 5, 121, 1197, 1076, .899, 3.11, 1, 6.2, 2335, , , , 110, -10.58, 0, 1, 1, 2,2001-02
Patrick DesRochers, 22, PHX, 5, , 1, 2, 1, 15, 99, 84, .848, 3.71, 0, -0.1, 243, , , , , , 0, 0, 0, 2,2001-02
Reinhard Divis, 26, STL, 1, , 0, 0, 0, 0, 4, 4, 1.000, 0.00, 0, 0.1, 25, , , , , , 0, 0, 0, 0,2001-02
Mike Dunham, 29, NSH, 58, , 23, 24, 9, 144, 1525, 1381, .906, 2.62, 3, 9.0, 3316, , , , 102, -3.32, 0, 2, 2, 2,2001-02
Robert Esche, 24, PHX, 22, , 6, 10, 2, 52, 533, 481, .902, 2.73, 1, 3.0, 1145, , , , 106, -2.83, 0, 0, 0, 16,2001-02
Bob Essensa, 37, BUF, 9, , 0, 5, 0, 17, 113, 96, .850, 2.91, 0, -0.1, 350, , , , , , 0, 0, 0, 0,2001-02
Manny Fernandez, 27, MIN, 44, , 12, 24, 5, 125, 1157, 1032, .892, 3.05, 1, 5.0, 2463, , , , 117, -18.27, 0, 0, 0, 4,2001-02
Stephane Fiset, 31, MTL, 2, , 0, 1, 0, 7, 60, 53, .883, 3.85, 0, 0.2, 109, , , , , , 0, 0, 0, 0,2001-02
Wade Flaherty, 34, FLA, 4, , 2, 1, 1, 12, 148, 136, .919, 2.94, 0, 1.1, 245, , , , , , 0, 0, 0, 0,2001-02
Mathieu Garon, 24, MTL, 5, , 1, 4, 0, 19, 147, 128, .871, 4.37, 0, 0.3, 261, , , , , , 0, 0, 0, 0,2001-02
Jean-Sebastien Giguere, 24, MDA, 53, , 20, 25, 6, 111, 1384, 1273, .920, 2.13, 4, 10.4, 3127, , , , 87, 16.67, 0, 0, 0, 28,2001-02
John Grahame, 26, BOS, 19, , 8, 7, 2, 52, 503, 451, .897, 2.95, 1, 2.5, 1079, , , , 112, -5.60, 0, 1, 1, 6,2001-02
Derek Gustafson, 22, MIN, 1, , 0, 0, 0, 0, 7, 7, 1.000, 0.00, 0, 0.1, 26, , , , , , 0, 0, 0, 0,2001-02
Jeff Hackett, 33, MTL, 15, , 5, 5, 2, 38, 395, 357, .904, 3.18, 0, 2.3, 717, , , , 104, -1.56, 0, 0, 0, 2,2001-02
Dominik Hasek*, 37, DET, 65, , 41, 15, 8, 140, 1654, 1514, .915, 2.17, 5, 11.6, 3872, , , , 92, 12.58, 0, 1, 1, 8,2001-02
Johan Hedberg, 28, PIT, 66, , 25, 34, 7, 178, 1851, 1673, .904, 2.76, 6, 10.6, 3877, , , , 104, -7.25, 0, 1, 1, 22,2001-02
Milan Hnilicka, 28, ATL, 60, , 13, 33, 10, 179, 1956, 1777, .908, 3.17, 3, 12.2, 3367, , , , 99, 1.44, 0, 2, 2, 8,2001-02
Johan Holmqvist, 23, NYR, 1, , 0, 0, 0, 0, 2, 2, 1.000, 0.00, 0, 0.0, 9, , , , , , 0, 0, 0, 0,2001-02
Jani Hurme, 27, OTT, 25, , 12, 9, 1, 54, 578, 524, .907, 2.48, 3, 3.5, 1309, , , , 101, -0.68, 0, 0, 0, 17,2001-02
Arturs Irbe, 34, CAR, 51, , 20, 19, 11, 126, 1282, 1156, .902, 2.54, 3, 7.0, 2974, , , , 107, -7.74, 0, 1, 1, 10,2001-02
Brent Johnson, 24, STL, 58, , 34, 20, 4, 127, 1293, 1166, .902, 2.18, 5, 7.1, 3491, , , , 106, -7.72, 0, 4, 4, 2,2001-02
Curtis Joseph, 34, TOR, 51, , 29, 17, 5, 114, 1210, 1096, .906, 2.23, 4, 7.2, 3065, , , , 102, -2.38, 0, 1, 1, 10,2001-02
Nikolai Khabibulin, 29, TBL, 70, , 24, 32, 10, 153, 1914, 1761, .920, 2.36, 7, 14.5, 3896, , , , 87, 23.56, 0, 2, 2, 6,2001-02
Trevor Kidd, 29, FLA, 33, , 4, 16, 5, 90, 857, 767, .895, 3.21, 1, 4.0, 1683, , , , 114, -10.94, 0, 1, 1, 0,2001-02
Miikka Kiprusoff, 25, SJS, 20, , 7, 6, 3, 43, 508, 465, .915, 2.49, 2, 3.6, 1037, , , , 92, 3.86, 0, 0, 0, 4,2001-02
Dieter Kochan, 27, TBL, 5, , 0, 3, 1, 16, 129, 113, .876, 4.06, 0, 0.3, 237, , , , , , 0, 0, 0, 0,2001-02
Olaf Kolzig, 31, WSH, 71, , 31, 29, 8, 192, 1977, 1785, .903, 2.79, 6, 11.1, 4131, , , , 105, -9.62, 0, 1, 1, 8,2001-02
Jean-Francois Labbe, 29, CBJ, 3, , 1, 1, 0, 6, 68, 62, .912, 3.07, 0, 0.5, 117, , , , , , 0, 0, 0, 0,2001-02
Simon Lajeunesse, 21, OTT, 1, , 0, 0, 0, 0, 9, 9, 1.000, 0.00, 0, 0.2, 24, , , , , , 0, 0, 0, 0,2001-02
Patrick Lalime, 27, OTT, 61, , 27, 24, 8, 148, 1521, 1373, .903, 2.48, 7, 8.5, 3583, , , , 105, -7.69, 0, 1, 1, 19,2001-02
Jan Lasak, 22, NSH, 3, , 0, 3, 0, 13, 104, 91, .875, 4.40, 0, 0.3, 177, , , , , , 0, 0, 0, 2,2001-02
Manny Legace, 28, DET, 20, , 10, 6, 2, 45, 503, 458, .911, 2.42, 1, 3.3, 1117, , , , 97, 1.40, 0, 1, 1, 0,2001-02
Neil Little, 30, PHI, 1, , 0, 1, 0, 4, 29, 25, .862, 4.00, 0, 0.0, 60, , , , , , 0, 0, 0, 10,2001-02
Roberto Luongo, 22, FLA, 58, , 16, 33, 4, 140, 1653, 1513, .915, 2.77, 4, 11.6, 3030, , , , 92, 12.49, 0, 1, 1, 2,2001-02
Norm Maracle, 27, ATL, 1, , 0, 1, 0, 3, 20, 17, .850, 3.00, 0, 0.0, 60, , , , , , 0, 0, 0, 0,2001-02
Jussi Markkanen, 26, EDM, 14, , 6, 4, 2, 24, 336, 312, .929, 1.88, 2, 2.9, 784, , , , 77, 7.00, 0, 0, 0, 0,2001-02
Olivier Michaud, 18, MTL, 1, , 0, 0, 0, 0, 14, 14, 1.000, 0.00, 0, 0.2, 18, , , , , , 0, 0, 0, 0,2001-02
Evgeni Nabokov, 26, SJS, 67, , 37, 24, 5, 149, 1818, 1669, .918, 2.29, 7, 13.3, 3901, , , , 89, 18.71, 1, 3, 4, 14,2001-02
Mika Noronen, 22, BUF, 10, , 4, 3, 1, 23, 217, 194, .894, 2.66, 0, 1.0, 518, , , , , , 0, 0, 0, 2,2001-02
Pasi Nurminen, 26, ATL, 9, , 2, 5, 0, 28, 275, 247, .898, 3.78, 0, 1.4, 465, , , , , , 0, 0, 0, 0,2001-02
Chris Osgood, 29, NYI, 66, , 32, 25, 6, 156, 1727, 1571, .910, 2.50, 4, 11.0, 3743, , , , 98, 3.31, 0, 4, 4, 10,2001-02
Steve Passmore, 29, CHI, 23, , 8, 5, 4, 43, 446, 403, .904, 2.26, 0, 2.5, 1142, , , , 105, -1.86, 0, 1, 1, 2,2001-02
Felix Potvin, 30, LAK, 71, , 31, 27, 8, 157, 1686, 1529, .907, 2.31, 6, 10.2, 4071, , , , 101, -1.47, 0, 1, 1, 19,2001-02
Martin Prusek, 26, OTT, 1, , 0, 1, 0, 3, 15, 12, .800, 2.92, 0, -0.1, 62, , , , , , 0, 0, 0, 0,2001-02
Andrew Raycroft, 21, BOS, 1, , 0, 0, 1, 3, 29, 26, .897, 2.77, 0, 0.1, 65, , , , , , 0, 0, 0, 0,2001-02
Damian Rhodes, 32, ATL, 15, , 2, 10, 1, 47, 439, 392, .893, 3.67, 0, 2.0, 769, , , , 116, -6.50, 0, 0, 0, 0,2001-02
Mike Richter, 35, NYR, 55, , 24, 26, 4, 157, 1675, 1518, .906, 2.95, 2, 10.0, 3195, , , , 102, -2.48, 0, 0, 0, 4,2001-02
Dwayne Roloson, 32, MIN, 45, , 14, 20, 7, 112, 1132, 1020, .901, 2.68, 5, 6.1, 2506, , , , 107, -7.57, 0, 0, 0, 8,2001-02
Patrick Roy*, 36, COL, 63, , 32, 23, 8, 122, 1629, 1507, .925, 1.94, 9, 13.3, 3773, , , , 81, 28.27, 0, 3, 3, 26,2001-02
Tommy Salo, 30, EDM, 69, , 30, 28, 10, 149, 1713, 1564, .913, 2.20, 6, 11.6, 4035, , , , 94, 9.02, 0, 1, 1, 2,2001-02
Corey Schwab, 31, TOR, 30, , 12, 10, 5, 75, 707, 632, .894, 2.73, 1, 3.2, 1646, , , , 115, -9.78, 0, 0, 0, 2,2001-02
Steve Shields, 29, MDA, 33, , 9, 20, 2, 79, 850, 771, .907, 2.67, 0, 5.2, 1777, , , , 101, -0.59, 0, 0, 0, 4,2001-02
Peter Skudra, 28, VAN, 23, , 10, 8, 2, 47, 508, 461, .907, 2.42, 1, 3.1, 1166, , , , 100, -0.14, 0, 0, 0, 2,2001-02
Garth Snow, 32, NYI, 25, , 10, 7, 2, 55, 549, 494, .900, 2.72, 2, 2.9, 1217, , , , 109, -4.36, 0, 0, 0, 14,2001-02
Jamie Storr, 26, LAK, 19, , 9, 4, 3, 28, 360, 332, .922, 1.90, 2, 2.8, 886, , , , 84, 5.21, 0, 0, 0, 4,2001-02
Jose Theodore, 25, MTL, 67, , 30, 24, 10, 136, 1972, 1836, .931, 2.11, 7, 17.4, 3864, , , , 75, 45.91, 0, 2, 2, 2,2001-02
Jocelyn Thibault, 27, CHI, 67, , 33, 23, 9, 159, 1626, 1467, .902, 2.49, 6, 9.0, 3838, , , , 106, -9.00, 0, 0, 0, 2,2001-02
Vesa Toskala, 24, SJS, 1, , 0, 0, 0, 0, 2, 2, 1.000, 0.00, 0, 0.0, 10, , , , , , 0, 0, 0, 0,2001-02
Ron Tugnutt, 34, CBJ, 44, , 12, 27, 3, 119, 1195, 1076, .900, 2.85, 2, 6.4, 2502, , , , 108, -8.76, 0, 1, 1, 0,2001-02
Marty Turco, 26, DAL, 31, , 15, 6, 2, 53, 670, 617, .921, 2.09, 2, 5.1, 1519, , , , 86, 8.81, 0, 0, 0, 10,2001-02
Roman Turek, 31, CGY, 69, , 30, 28, 11, 172, 1839, 1667, .906, 2.53, 5, 11.1, 4081, , , , 101, -2.35, 0, 5, 5, 4,2001-02
John Vanbiesbrouck, 38, NJD, 5, , 2, 3, 0, 10, 117, 107, .915, 2.00, 0, 0.8, 300, , , , , , 0, 0, 0, 4,2001-02
Mike Vernon, 38, CGY, 18, , 2, 9, 1, 38, 375, 337, .899, 2.76, 1, 1.9, 825, , , , 110, -3.41, 0, 3, 3, 0,2001-02
Tomas Vokoun, 25, NSH, 29, , 5, 14, 4, 66, 678, 612, .903, 2.69, 2, 3.8, 1471, , , , 106, -3.46, 0, 0, 0, 2,2001-02
Kevin Weekes, 26, TOT, 21, , 5, 9, 0, 43, 511, 468, .916, 2.72, 2, 3.6, 950, , , , 91, 4.14, 0, 0, 0, 0,2001-02
Kevin Weekes, 26, TBL, 19, , 3, 9, 0, 40, 470, 430, .915, 2.89, 2, 3.3, 830, , , , 92, 3.36, 0, 0, 0, 0,2001-02
Kevin Weekes, 26, CAR, 2, , 2, 0, 0, 3, 41, 38, .927, 1.50, 0, 0.3, 120, , , , , , 0, 0, 0, 0,2001-02
Kay Whitmore, 34, CGY, 1, , 0, 1, 0, 3, 21, 18, .857, 3.08, 0, 0.0, 58, , , , , , 0, 0, 0, 0,2001-02
David Aebischer, 22, COL, 26, , 12, 7, 3, 52, 538, 486, .903, 2.24, 3, 3.3, 1393, , , , 100, 0.04, 0, 1, 1, 0,2000-01
Jean-Sebastien Aubin, 23, PIT, 36, , 20, 14, 1, 107, 973, 866, .890, 3.33, 0, 4.6, 2050, , , , 114, -12.87, 0, 1, 1, 4,2000-01
Ed Belfour*, 35, DAL, 63, , 35, 20, 7, 144, 1508, 1364, .905, 2.34, 8, 9.5, 3687, , , , 99, 1.88, 0, 1, 1, 4,2000-01
Zac Bierk, 24, MIN, 1, , 0, 1, 0, 6, 27, 21, .778, 6.00, 0, -0.2, 60, , , , , , 0, 0, 0, 2,2000-01
Craig Billington, 34, WSH, 12, , 3, 5, 2, 27, 317, 290, .915, 2.45, 0, 2.3, 660, , , , , , 0, 1, 1, 0,2000-01
Martin Biron, 23, BUF, 18, , 7, 7, 1, 39, 427, 388, .909, 2.55, 2, 2.9, 918, , , , 94, 2.31, 0, 0, 0, 0,2000-01
Brian Boucher, 24, PHI, 27, , 8, 12, 5, 80, 644, 564, .876, 3.27, 1, 2.0, 1470, , , , 128, -17.70, 0, 0, 0, 2,2000-01
Fred Brathwaite, 28, CGY, 49, , 15, 17, 10, 106, 1181, 1075, .910, 2.32, 5, 8.1, 2742, , , , 93, 8.25, 0, 1, 1, 2,2000-01
Martin Brodeur*, 28, NJD, 72, , 42, 17, 11, 166, 1762, 1596, .906, 2.32, 9, 11.3, 4297, , , , 97, 4.45, 0, 1, 1, 14,2000-01
Sean Burke, 34, PHX, 62, , 25, 22, 13, 138, 1767, 1629, .922, 2.27, 4, 14.4, 3644, , , , 81, 32.84, 0, 1, 1, 16,2000-01
Roman Cechmanek, 29, PHI, 59, , 35, 15, 6, 115, 1464, 1349, .921, 2.01, 10, 11.9, 3431, , , , 81, 26.62, 0, 1, 1, 4,2000-01
Dan Cloutier, 24, TOT, 40, , 7, 19, 8, 96, 889, 793, .892, 3.00, 1, 4.4, 1919, , , , 112, -10.00, 0, 0, 0, 4,2000-01
Dan Cloutier, 24, TBL, 24, , 3, 13, 3, 59, 541, 482, .891, 3.52, 1, 2.6, 1005, , , , 113, -6.66, 0, 0, 0, 4,2000-01
Dan Cloutier, 24, VAN, 16, , 4, 6, 5, 37, 348, 311, .894, 2.43, 0, 1.8, 914, , , , 110, -3.34, 0, 0, 0, 0,2000-01
Byron Dafoe, 29, BOS, 45, , 22, 14, 7, 101, 1076, 975, .906, 2.39, 2, 6.9, 2536, , , , 97, 3.09, 0, 2, 2, 6,2000-01
Marc Denis, 23, CBJ, 32, , 6, 20, 4, 99, 940, 841, .895, 3.25, 0, 4.9, 1830, , , , 109, -8.07, 0, 0, 0, 2,2000-01
Rick DiPietro, 19, NYI, 20, , 3, 15, 1, 63, 515, 452, .878, 3.49, 0, 1.7, 1083, , , , 126, -13.18, 0, 2, 2, 6,2000-01
Mike Dunham, 28, NSH, 48, , 21, 21, 4, 107, 1381, 1274, .923, 2.33, 4, 11.4, 2810, , , , 80, 26.59, 0, 0, 0, 2,2000-01
Robert Esche, 23, PHX, 25, , 10, 8, 4, 68, 657, 589, .896, 3.02, 2, 3.5, 1350, , , , 107, -4.44, 0, 3, 3, 2,2000-01
Bob Essensa, 36, VAN, 39, , 18, 12, 3, 92, 854, 762, .892, 2.68, 1, 4.2, 2059, , , , 111, -9.39, 0, 0, 0, 4,2000-01
Scott Fankhouser, 25, ATL, 7, , 2, 1, 0, 16, 160, 144, .900, 3.44, 0, 0.9, 260, , , , , , 0, 0, 0, 2,2000-01
Manny Fernandez, 26, MIN, 42, , 19, 17, 4, 92, 1147, 1055, .920, 2.24, 4, 9.1, 2461, , , , 83, 18.96, 0, 0, 0, 6,2000-01
Eric Fichaud, 25, MTL, 2, , 0, 2, 0, 4, 32, 28, .875, 3.89, 0, 0.1, 62, , , , , , 0, 0, 0, 0,2000-01
Stephane Fiset, 30, LAK, 7, , 3, 0, 1, 19, 129, 110, .853, 3.58, 0, 0.1, 318, , , , , , 0, 0, 0, 2,2000-01
Wade Flaherty, 33, TOT, 22, , 6, 12, 0, 64, 525, 461, .878, 3.38, 1, 1.8, 1135, , , , 126, -13.21, 0, 0, 0, 2,2000-01
Wade Flaherty, 33, NYI, 20, , 6, 10, 0, 56, 470, 414, .881, 3.30, 1, 1.7, 1017, , , , 123, -10.53, 0, 0, 0, 2,2000-01
Wade Flaherty, 33, TBL, 2, , 0, 2, 0, 8, 55, 47, .855, 4.07, 0, 0.0, 118, , , , , , 0, 0, 0, 0,2000-01
Mike Fountain, 29, OTT, 1, , 0, 1, 0, 3, 25, 22, .880, 3.07, 0, 0.1, 59, , , , , , 0, 0, 0, 0,2000-01
Joaquin Gage, 27, EDM, 5, , 2, 2, 0, 15, 125, 110, .880, 3.46, 0, 0.5, 260, , , , , , 0, 0, 0, 0,2000-01
Mathieu Garon, 23, MTL, 11, , 4, 5, 1, 24, 233, 209, .897, 2.44, 2, 1.3, 589, , , , , , 0, 0, 0, 0,2000-01
Jean-Sebastien Giguere, 23, MDA, 34, , 11, 17, 5, 87, 976, 889, .911, 2.57, 4, 6.8, 2031, , , , 92, 7.42, 0, 2, 2, 8,2000-01
John Grahame, 25, BOS, 10, , 3, 4, 0, 28, 211, 183, .867, 3.57, 0, 0.5, 471, , , , , , 0, 0, 0, 2,2000-01
Derek Gustafson, 21, MIN, 4, , 1, 3, 0, 10, 97, 87, .897, 2.51, 0, 0.5, 239, , , , , , 0, 0, 0, 0,2000-01
Jeff Hackett, 32, MTL, 19, , 4, 10, 2, 54, 477, 423, .887, 3.25, 0, 2.1, 998, , , , 117, -7.86, 0, 1, 1, 0,2000-01
Dominik Hasek*, 36, BUF, 67, , 37, 24, 4, 137, 1726, 1589, .921, 2.11, 11, 13.9, 3904, , , , 82, 29.97, 0, 3, 3, 22,2000-01
Glenn Healy, 38, TOR, 15, , 4, 7, 3, 38, 331, 293, .885, 2.62, 0, 1.4, 871, , , , 119, -5.98, 0, 0, 0, 0,2000-01
Guy Hebert, 34, TOT, 54, , 17, 30, 5, 157, 1521, 1364, .897, 3.19, 2, 8.3, 2950, , , , 107, -9.86, 0, 0, 0, 0,2000-01
Guy Hebert, 34, MDA, 41, , 12, 23, 4, 115, 1112, 997, .897, 3.11, 2, 6.0, 2215, , , , 107, -7.43, 0, 0, 0, 0,2000-01
Guy Hebert, 34, NYR, 13, , 5, 7, 1, 42, 409, 367, .897, 3.43, 0, 2.2, 735, , , , 106, -2.43, 0, 0, 0, 0,2000-01
Johan Hedberg, 27, PIT, 9, , 7, 1, 1, 24, 253, 229, .905, 2.64, 0, 1.6, 545, , , , , , 0, 0, 0, 0,2000-01
Corey Hirsch, 28, WSH, 1, , 1, 0, 0, 0, 8, 8, 1.000, 0.00, 0, 0.1, 20, , , , , , 0, 0, 0, 0,2000-01
Milan Hnilicka, 27, ATL, 36, , 12, 19, 2, 105, 951, 846, .890, 3.41, 2, 4.4, 1879, , , , 114, -13.00, 0, 0, 0, 4,2000-01
Johan Holmqvist, 22, NYR, 2, , 0, 2, 0, 10, 71, 61, .859, 5.05, 0, 0.1, 119, , , , , , 0, 0, 0, 2,2000-01
Jani Hurme, 26, OTT, 22, , 12, 5, 4, 54, 563, 509, .904, 2.50, 2, 3.5, 1296, , , , 99, 0.46, 0, 0, 0, 0,2000-01
Arturs Irbe, 33, CAR, 77, , 37, 29, 9, 180, 1947, 1767, .908, 2.45, 6, 12.9, 4406, , , , 96, 8.35, 0, 2, 2, 6,2000-01
Brent Johnson, 23, STL, 31, , 19, 9, 2, 63, 676, 613, .907, 2.17, 4, 4.4, 1744, , , , 96, 2.39, 0, 0, 0, 2,2000-01
Curtis Joseph, 33, TOR, 68, , 33, 27, 8, 163, 1907, 1744, .915, 2.39, 6, 14.0, 4100, , , , 88, 21.48, 0, 1, 1, 8,2000-01
Nikolai Khabibulin, 28, TBL, 2, , 1, 1, 0, 6, 69, 63, .913, 2.92, 0, 0.5, 123, , , , , , 0, 0, 0, 0,2000-01
Trevor Kidd, 28, FLA, 42, , 10, 23, 6, 130, 1217, 1087, .893, 3.31, 1, 6.1, 2354, , , , 110, -12.27, 0, 1, 1, 6,2000-01
Miikka Kiprusoff, 24, SJS, 5, , 2, 1, 0, 5, 51, 46, .902, 1.94, 0, 0.3, 154, , , , , , 0, 0, 0, 0,2000-01
Dieter Kochan, 26, TBL, 10, , 0, 3, 0, 18, 138, 120, .870, 3.44, 0, 0.3, 314, , , , , , 0, 0, 0, 0,2000-01
Olaf Kolzig, 30, WSH, 72, , 37, 26, 8, 177, 1941, 1764, .909, 2.48, 5, 13.1, 4279, , , , 94, 10.77, 0, 2, 2, 14,2000-01
Evgeny Konstantinov, 19, TBL, 1, , 0, 0, 0, 0, 0, 0, , 0.00, 0, 0.0, 1, , , , , , 0, 0, 0, 0,2000-01
Jason LaBarbera, 21, NYR, 1, , 0, 0, 0, 0, 2, 2, 1.000, 0.00, 0, 0.0, 10, , , , , , 0, 0, 0, 0,2000-01
Patrick Lalime, 26, OTT, 60, , 36, 19, 5, 141, 1640, 1499, .914, 2.35, 7, 12.0, 3607, , , , 89, 17.65, 0, 1, 1, 2,2000-01
Michel Larocque, 24, CHI, 3, , 0, 2, 0, 9, 59, 50, .847, 3.55, 0, 0.0, 152, , , , , , 0, 0, 0, 0,2000-01
Manny Legace, 27, DET, 39, , 24, 5, 5, 73, 909, 836, .920, 2.05, 2, 7.2, 2136, , , , 83, 14.93, 0, 2, 2, 4,2000-01
Roberto Luongo, 21, FLA, 47, , 12, 24, 7, 107, 1333, 1226, .920, 2.44, 5, 10.6, 2628, , , , 83, 21.95, 0, 0, 0, 2,2000-01
Norm Maracle, 26, ATL, 13, , 2, 8, 3, 43, 406, 363, .894, 3.43, 0, 2.1, 753, , , , 109, -3.72, 0, 0, 0, 0,2000-01
Chris Mason, 24, NSH, 1, , 0, 1, 0, 2, 20, 18, .900, 2.05, 0, 0.1, 59, , , , , , 0, 0, 0, 0,2000-01
Kirk McLean, 34, NYR, 23, , 8, 10, 1, 71, 639, 568, .889, 3.49, 0, 2.9, 1220, , , , 115, -9.18, 0, 0, 0, 0,2000-01
Jamie McLennan, 29, MIN, 38, , 5, 23, 9, 98, 1032, 934, .905, 2.64, 2, 6.5, 2230, , , , 98, 1.83, 0, 1, 1, 4,2000-01
Tyler Moss, 25, CAR, 12, , 1, 6, 0, 37, 251, 214, .853, 3.99, 0, 0.2, 557, , , , , , 0, 0, 0, 0,2000-01
Evgeni Nabokov, 25, SJS, 66, , 32, 21, 7, 135, 1582, 1447, .915, 2.19, 6, 11.7, 3700, , , , 88, 18.04, 0, 2, 2, 8,2000-01
Gregg Naumenko, 23, MDA, 2, , 0, 1, 0, 7, 29, 22, .759, 5.99, 0, -0.3, 70, , , , , , 0, 0, 0, 2,2000-01
Mika Noronen, 21, BUF, 2, , 2, 0, 0, 5, 39, 34, .872, 2.77, 0, 0.1, 108, , , , , , 0, 0, 0, 0,2000-01
Chris Osgood, 28, DET, 52, , 25, 19, 4, 127, 1310, 1183, .903, 2.69, 1, 8.0, 2834, , , , 100, -0.27, 0, 0, 0, 8,2000-01
Maxime Ouellet, 19, PHI, 2, , 0, 1, 0, 3, 27, 24, .889, 2.38, 0, 0.1, 76, , , , , , 0, 0, 0, 0,2000-01
Rich Parent, 28, PIT, 7, , 1, 1, 3, 17, 150, 133, .887, 3.08, 0, 0.6, 332, , , , , , 0, 0, 0, 0,2000-01
Steve Passmore, 28, TOT, 20, , 3, 12, 2, 51, 457, 406, .888, 2.89, 1, 2.1, 1058, , , , 115, -6.79, 0, 0, 0, 4,2000-01
Steve Passmore, 28, LAK, 14, , 3, 8, 1, 37, 310, 273, .881, 3.09, 1, 1.1, 718, , , , , , 0, 0, 0, 0,2000-01
Steve Passmore, 28, CHI, 6, , 0, 4, 1, 14, 147, 133, .905, 2.47, 0, 0.9, 340, , , , , , 0, 0, 0, 4,2000-01
Felix Potvin, 29, TOT, 58, , 27, 22, 8, 149, 1485, 1336, .900, 2.62, 6, 8.5, 3416, , , , 104, -5.34, 0, 5, 5, 4,2000-01
Felix Potvin, 29, VAN, 35, , 14, 17, 3, 103, 914, 811, .887, 3.08, 1, 4.0, 2006, , , , 116, -14.58, 0, 2, 2, 2,2000-01
Felix Potvin, 29, LAK, 23, , 13, 5, 5, 46, 571, 525, .919, 1.96, 5, 4.5, 1410, , , , 83, 9.24, 0, 3, 3, 2,2000-01
Andrew Raycroft, 20, BOS, 15, , 4, 6, 0, 32, 291, 259, .890, 2.96, 0, 1.4, 649, , , , , , 0, 0, 0, 0,2000-01
Damian Rhodes, 31, ATL, 38, , 7, 19, 7, 116, 1129, 1013, .897, 3.40, 0, 6.2, 2072, , , , 106, -6.78, 0, 0, 0, 16,2000-01
Mike Richter, 34, NYR, 45, , 20, 21, 3, 144, 1343, 1199, .893, 3.28, 0, 6.7, 2635, , , , 111, -14.08, 0, 0, 0, 0,2000-01
Dominic Roussel, 30, TOT, 21, , 3, 9, 2, 52, 446, 394, .883, 3.12, 0, 1.8, 1001, , , , 121, -8.86, 0, 0, 0, 2,2000-01
Dominic Roussel, 30, MDA, 13, , 2, 5, 2, 31, 295, 264, .895, 2.85, 0, 1.5, 653, , , , , , 0, 0, 0, 0,2000-01
Dominic Roussel, 30, EDM, 8, , 1, 4, 0, 21, 151, 130, .861, 3.62, 0, 0.2, 348, , , , , , 0, 0, 0, 2,2000-01
Patrick Roy*, 35, COL, 62, , 40, 13, 7, 132, 1513, 1381, .913, 2.22, 4, 10.8, 3585, , , , 90, 14.36, 0, 5, 5, 10,2000-01
Tommy Salo, 29, EDM, 73, , 36, 25, 12, 179, 1856, 1677, .904, 2.46, 8, 11.5, 4364, , , , 100, 0.55, 0, 1, 1, 4,2000-01
Travis Scott, 25, LAK, 1, , 0, 0, 0, 3, 10, 7, .700, 7.28, 0, -0.2, 25, , , , , , 0, 0, 0, 0,2000-01
Steve Shields, 28, SJS, 21, , 6, 8, 5, 47, 531, 484, .911, 2.48, 2, 3.7, 1135, , , , 91, 4.37, 0, 0, 0, 2,2000-01
Peter Skudra, 27, TOT, 26, , 6, 12, 1, 62, 511, 449, .879, 3.33, 0, 1.8, 1117, , , , 125, -12.57, 0, 0, 0, 0,2000-01
Peter Skudra, 27, BOS, 25, , 6, 12, 1, 62, 511, 449, .879, 3.33, 0, 1.8, 1116, , , , 125, -12.57, 0, 0, 0, 0,2000-01
Peter Skudra, 27, BUF, 1, , 0, 0, 0, 0, 0, 0, , 0.00, 0, 0.0, 1, , , , , , 0, 0, 0, 0,2000-01
Garth Snow, 31, PIT, 35, , 14, 15, 4, 101, 1014, 913, .900, 2.98, 3, 5.9, 2032, , , , 103, -2.91, 0, 0, 0, 8,2000-01
Jamie Storr, 25, LAK, 45, , 19, 18, 6, 114, 1131, 1017, .899, 2.74, 4, 6.4, 2498, , , , 104, -4.59, 0, 0, 0, 4,2000-01
Robbie Tallas, 27, CHI, 12, , 2, 7, 0, 35, 265, 230, .868, 3.35, 0, 0.6, 627, , , , , , 0, 0, 0, 0,2000-01
Chris Terreri, 36, TOT, 18, , 4, 9, 2, 39, 372, 333, .895, 2.67, 0, 2.0, 896, , , , 108, -3.01, 0, 0, 0, 2,2000-01
Chris Terreri, 36, NJD, 10, , 2, 5, 1, 21, 167, 146, .874, 2.78, 0, 0.5, 453, , , , , , 0, 0, 0, 0,2000-01
