Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,GAA,SO,GPS,MIN,QS,RBS,GSAA,G,A,PTS,PIM,Season,SV%,QS%,GA%
Bruce Gamble,32, TOT,34,0,9,20,3,120,1079,959,3.71,2,3.5,1939,0,0,-15.6,0,0,0,0,1970-71,0.889,0.0,115
Bruce Gamble,32, TOR,23,0,6,14,1,83,706,623,3.89,2,1.9,1280,0,0,-14.69,0,0,0,0,1970-71,0.882,0.0,122
Bruce Gamble,32, PHI,11,0,3,6,2,37,373,336,3.37,0,1.5,658,0,0,-0.91,0,0,0,0,1970-71,0.9009999999999999,0.0,103
George Gardner,28, VAN,18,0,6,8,1,52,587,535,3.39,0,2.1,920,0,0,4.8,0,0,0,0,1970-71,0.9109999999999999,0.0,92
Ed Giacomin*,31, NYR,45,0,27,10,7,95,1215,1120,2.16,8,11.0,2638,0,0,22.56,0,0,0,4,1970-71,0.922,0.0,81
Gilles Gilbert,21, MNS,17,0,5,9,2,59,533,474,3.8,0,1.5,931,0,0,-7.43,0,0,0,2,1970-71,0.889,0.0,114
Gerry Gray,23, DET,7,0,1,4,1,30,229,199,4.74,0,0.1,380,0,0,0.0,0,0,0,0,1970-71,0.8690000000000001,0.0,0
Glenn Hall*,39, STL,32,0,13,11,8,71,867,796,2.42,2,6.6,1760,0,0,12.89,0,1,1,0,1970-71,0.9179999999999999,0.0,85
Charlie Hodge,37, VAN,35,0,15,13,5,112,1045,933,3.42,0,4.4,1965,0,0,-10.89,0,0,0,0,1970-71,0.893,0.0,111
Paul Hoganson,21, PIT,2,0,0,1,0,7,28,21,7.35,0,-0.2,57,0,0,0.0,0,0,0,0,1970-71,0.75,0.0,0
Eddie Johnston,35, BOS,38,0,30,6,2,96,1110,1014,2.53,4,8.2,2277,0,0,11.4,0,1,1,6,1970-71,0.914,0.0,89
Cesare Maniago,32, MNS,40,0,19,15,6,107,1248,1141,2.7,5,7.9,2378,0,0,13.75,0,1,1,2,1970-71,0.914,0.0,89
Murray McLachlan,22, TOR,2,0,0,1,0,4,17,13,9.72,0,-0.2,25,0,0,0.0,0,0,0,0,1970-71,0.765,0.0,0
Don McLeod,24, DET,14,0,3,7,0,60,406,346,5.17,0,-0.3,697,0,0,-20.72,0,0,0,0,1970-71,0.852,0.0,153
Gilles Meloche,20, CBH,2,0,2,0,0,6,72,66,3.0,0,0.3,120,0,0,0.0,0,0,0,0,1970-71,0.917,0.0,0
Phil Myre,22, MTL,30,0,13,11,4,87,911,824,3.12,1,4.5,1675,0,0,1.14,0,1,1,17,1970-71,0.905,0.0,99
Cam Newton,20, PIT,5,0,1,3,1,16,114,98,3.44,0,0.6,279,0,0,0.0,0,0,0,4,1970-71,0.86,0.0,0
